razao_social;nome_fantasia;cnpj_cpf;cep;endereco;bairro;numero;complemento;cidade;estado;inscricao_estadual;telefone;celular;contato;email;observacao;site
TSB 340 INSTITUTO NACIONAL DE DESENVOLVIMENTO SOCIAL E HUMANO INDSH;HOSPITAL REGIONAL DO MARAJO - INDSH;23453830000412;68800-000;AVENIDA RIO BRANCO;CENTRO;S / N;;BREVES;PA;ISENTO;(0091)3783-2140;(0091)8109-3295;WANDERLEI NUNES;TI.HRM@INDSH.ORG.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=23.453.830/0004-12">gts</a><br>; 
TSB 341 UNIMED DE BELEM COOPERATIVA DE TRABALHO MEDICO;UNIMED;04201372001028;66055-210;RUA DOMINGOS MARREIROS;UMARIZAL;856;;BELÉM;PA;ISENTO;(0091)4009-5601;(0091)4009-5310;MONICA;COMPRAS@UNIMEDBELEM.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.201.372/0010-28">gts</a><br>; 
TSB 342 GAFISA SPE-72 EMPREENDIMENTOS IMOBILIARIOS;GAFISA SPE-72;09272280000242;66615-170;RUA RODOLFO CHERMONT;MARAMBAIA;236;;BELÉM;PA;ISENTO;(0091) 3231-3892;(0091) 8107-1056;ANTONIO;OBRAD520@GAFISA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.272.280/0002-42">gts</a><br>; 
TSB 343 PINHEIRO E PINHEIRO LTDA;PARQUE DOS IGARAPES;09309624000160;66670-260;TRAVESSA WE-12;COQUEIRO;1000;PREDIO ADMINISTRAÇÃO SALA B;BELÉM;PA;052608943;(0091) 3248-1718;(0091) 3289-5238;MAISI / ATNI;UIRASPINHEIRO@GMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.309.624/0001-60">gts</a><br>; 
TSB 344 SIERDOVSKI E SIERDOVSKI LTDA;MSERVICE;03874953000177;85010-270;RUA CAPITÃO ROCHA;CENTRO;2393;;GUARAPUAVA;PR;9021660334;(0042) 3622-1418;;JOÃO;MSERVICE@MSERVICE.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=03.874.953/0001-77">gts</a><br>; 
TSB 345 FIT 16 SPE EMPREENDIMENTOS IMOBILIARIOS LTDA;GAFISA - 16 SPE EMPREENDIMENTOS IMOBILIARIOS;09515426000233;67130-670;ARTERIAL 5;ICUI - GUAJARA;333;CIDADE NOVA 7- ATRAS DO ABACATAO;ANANINDEUA;PA;ISENTO;(0091) 3263-2089;(0091) 3236-2089;MIGUEL / CRISTINA;MIS.NETO@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.515.426/0002-33">gts</a><br>cristina.pinheiro@gmail.com; 
TSB 346 FIT 25 SPE EMPREENDIMENTOS IMOBILIARIOS;GAFISA - FIT SPE EMPRENDIMENTOS IMOBILIARIOS;09534382000299;66810-010;TRAVESSA DO CRUZEIRO;CRUZEIRO (ICOARACI);472;;BELÉM;PA;ISENTO;(0091) 3227-1411;;PATRICIA;PATRICIA.PANTOJA@TENDA.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.534.382/0002-99">gts</a><br>; 
TSB 347 VICOSA PREFEITURA;VICOSA PREFEITURA GABINETE PREFEITO;18132449000179;36570-000;PRACA DO ROSARIO;RAMOS;05;;VIÇOSA;MG;ISENTO;(0031) 3892-3197;;SHEILA;DANYUFV@GMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=18.132.449/0001-79">gts</a><br>; 
TSB 348 SAO CRISTOVAO EQUIPAMENTOS RODOVIARIOS LTDA;SAO CRISTOVAO EQ. RODOVIÁRIOS;01742961000134;68740-970;;;S / N;KM 59;;XX;152953868;(0091) 3721-6948;(0091) 8801-1863;AMADEU;SAOCRISTOVAO_AMADEU@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=01.742.961/0001-34">gts</a><br>; 
TSB 349 CONSTRUTORA TRIUNFO S A;CONSTRUTORA TRIUNFO;77955532000107;68447-000;RODOVIA PA 481;MURUCUPI;S / N;VILA DOS CABANOS;BARCARENA;PA;152907556;(0091) 3322-6510;;LINDOMAR;LINDOMAR.SILVA@GRUPOTRIUNFO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=77.955.532/0001-07">gts</a><br>; 
TSB 350 ARMANDO LUIZ PIRONEL;GREEN HEAD;12544773000118;66816-000;RODOVIA ARTUR BERNARDES;PRATINHA (ICOARACI);8151;;BELÉM;PA;153118946;(0091) 8148-2625;(0091) 3258-8407;ARMANDO PIRONEL;ERICA.SILVA@GREENHEAD.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=12.544.773/0001-18">gts</a><br>; 
TSB 351 ENGEPLAN ENGENHARIA E PLANEJAMENTO LTDA;ENGEPLAN;04949426000147;67010-500;RUA SANTA MARIA;ATALAIA;100-A;ROD. BR 316-KM 01;ANANINDEUA;PA;15.000.790-6;(0091)3245-0200;;BENEDITO ESTEVÃO;CLEDISON@ENGEPLAN-PA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.949.426/0001-47">gts</a><br>; 
TSB 352 BRANDT MEIO AMBIENTE AMAZONIA LTA;BRANDT;05261728000190;66015-040;RUA ARCIPRESTES MANOEL TEODORO;BATISTA CAMPOS;616;ALTOS;BELÉM;PA;15.266.311-0;(0091) 3321-6900;;SONIA;SORMANES@BRANDT.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=05.261.728/0001-90">gts</a><br>; 
TSB 353 CONSTEC CONSULTORIA SERVICOS GERAIS E TECNICOS LTDA;CONSTEC;00590303000101;68.445-000;ROD. PA 481;VILA DO CONDE;S / N;KM 20;BARCARENA;PA;15-183706-6;(91)3754-1108;(91)8148-0251;GISELE / MIRIAN;RH@CASTSERVICOS.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=00.590.303/0001-01">gts</a><br>juvenalvieira@gmail.com; 
TSB 354 ASSOCIACAO CULTURAL E EDUCACIONAL DO PARA;CESUPA - CENTRO UNIVERSITARIO DO PARA;15254949000195;66.035-445;AV NAZARE;NAZARE;630;;BELÉM;PA;;(91)4009-9148;(91)4009-9157;GERSON CERBINO;COMPRAS@CESUPA.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=15.254.949/0001-95">gts</a><br>; 
TSB 355 TERRAPLENA LTDA;TERRAPLENA;14698658000123;66815-140;EST DA MARACACUERA, SETOR B QUADRA 06 LOTE 1,2,3 E 11;MARACACUERA (ICOARACI);S / N;;BELÉM;PA;15.126.079-6;(09)13214-7610;;JORGE SIMOES;JSIMOES@TERRAPLENA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=14.698.658/0001-23">gts</a><br>; 
TSB 356 SEMETRA SEGURANCA E MEDICINA DO TRABALHO;CLINICA SEMETRA;09365122000156;68390-000;AVENIDA DAS NAÇÕES;CENTRO;2465;;OURILÂNDIA DO NORTE;PA;15.269.803-5;(0094) 3434-1136;(0094) 3434-1139;SILVIO;DIRETORIA.SEMETRA@OUTLOOK.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.365.122/0001-56">gts</a><br> silviofilho25@hotmail.com; 
TSB 357 INSTITUTO DE SAUDE SANTA MARIA - IDESMA;HOSPITAL METROPOLITANO DE URGENCIA E EMERGENCIA - HMUE;04593237000346;67113-000;RODOVIA BR-316;COQUEIRO;S / N;KM 03;ANANINDEUA;PA;ISENTO;(0091) 3073-3700;(0091) 3073-3712;ALINE;ALINECARRERA@HMUE.ORG.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.593.237/0003-46">gts</a><br>financeiro: contato : frank telefone : 91-3073.3705 e-mail: financeiro@web.hmue.org.br ------------------------------------------------------------------- almoxarifado contato: kuenderson telefone: 91-3073.3839 ------------------------------------------------------------------------; 
TSB 358 GLOBAL CONSTRUCAO E INCORPORACAO LTDA - EPP - CNPJ INVALIDO NA RF;GLOBAL ENGENHARIA E PRE-MOLDADOS;02778837000272;68.447-000;ROD. PA 483;VILA DO CONDE;165;VILA DO PETECA;BARCARENA;PA;15.248.661-5;(91)3255-6939;(91)9311-3884;JUNIOR/PAULO;GLOBALENGBR@YAHOO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=02.778.837/0002-72">gts</a><br>; 
TSB 359 NOGUEIRA E TOMAS LTDA;POUSADA PORTUGUESA;34826990000133;66045-100;PASSAGEM AMÉRICO PEDROSO;CREMAÇÃO;17;;BELÉM;PA;ISENTO;(0091) 3241-1392;(0091) 8157-3839;ALAN NOGUEIRA;NOGUEIRAETOMAS@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=34.826.990/0001-33">gts</a><br>; 
TSB 360 NORTE MADEIRAS LTDA;NORTE MADEIRAS;11347565000166;68795-971;AV. MARTINHO MONTEIRO;MURININ;18 B;;BENEVIDES;PA;15.293.221-6;(0091) 3456-9150;(0091) 8844-7777;RONALDO CARVALHO;NORTEMAD@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=11.347.565/0001-66">gts</a><br>; 
TSB 361 IREZ E SIQUEIRA COMERCIO ATACADISTA DE CALCADOS LTDA;FRANCAL DISTRIBUIDORA;07809073000259;67020-000;RODOVIA BR-316;ÁGUAS LINDAS;S / N;KM 05 GALPAO 01;ANANINDEUA;PA;15.270.820-0;(0091) 4006-2750;(0091) 8121-1720;LUCIO SOARES;TI@BRAMAZONIA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=07.809.073/0002-59">gts</a><br>; 
TSB 362 RITUAL ACADEMIA DE GINASTICA LTDA;RITUAL ACADEMIA;04460278000100;66095-360;TRAVESSA MAURITI;MARCO;3390;TERREO;BELÉM;PA;;(0091) 3266-1364;(0091) 3226-3986;ARIADNA;;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.460.278/0001-00">gts</a><br>; 
TSB 363 AVANTE COMERCIO DE CALCADOS LTDA;DISTRIBUIDORA AVANTE;12315544000121;68510-260;Q FOLHA 12 QUADRA 18 LOTE 08;NOVA MARABÁ;S / N;SALA 01;MARABÁ;PA;15.308.449-9;(0094) 2101-2700;(0091) 8121-1720;LUCIO SOARES;TI@BRAMAZONIA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=12.315.544/0001-21">gts</a><br>; 
TSB 364 IREZ E SIQUEIRA COMERCIO ATACADISTA DE CALCADOS LTDA;FRANCAL DISTRIBUIDORA;07809073000178;68508-970;;;S / N;GALPAO 02;;XX;15.264.183-1;(0091) 8121-1720;;LUCIO SOARES;TI@BRAMAZONIA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=07.809.073/0001-78">gts</a><br>; 
TSB 365 SEMINARIO TEOLOGICO BATISTA EQUATORIAL;FATEBE;04978193000100;66630-505;ROD BELEM ANANINDEUA;ENTRONCAMENTO;S / N;KM 01;BELÉM;PA;ISENTO;(0091) 8834-1697;(0091) 3235-1605;HUGO MAGALHAES;HUGOGSMAGALHAES@GMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.978.193/0001-00">gts</a><br>; 
TSB 366 ORDEM DOS ADVOGADOS DO BRASIL - SECAO PARA;O.A.B;05070008000148;66015-060;PC BARAO DO RIO BRANCO;CAMPINA;93;;BELÉM;PA;ISENTO;(0091)4006-8623;(0091)8177-6173;SOLANGE SOUZA;COMPRAS@OABPA.ORG.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=05.070.008/0001-48">gts</a><br>; 
TSB 367 MARILENE DAS DORES MIGUEL;CENTRO AQUATICO MARIMAR;02059411000188;66063-390;TRAVESSA TRÊS DE MAIO;SÃO BRÁS;2508;;BELÉM;PA;;(0091) 3229-7516;;MARILENE;MAR.ILENE@YAHOO.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=02.059.411/0001-88">gts</a><br>; 
TSB 368 MAISFIBRA INDUSTRIA DE PIAS E TANQUES LTDA;MAISFIBRA;10921549000172;68795-000;ROD BR 316,;CANUTAMA;S /N;KM 18, LOTEAMENTO CANUTAMA;BENEVIDES;PA;15.287.649-9;(0091) 9113-5017;(0091) 9933-9392;CAMILA / MAURICIO;MAISFIBRA.PIASETANQUES@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=10.921.549/0001-72">gts</a><br>; 
TSB 369 AGENCIA DISTRITAL DO MOSQUEIRO;AGENCIA DISTRITAL DO MOSQUEIRO;83752790000199;66910-000;RUA QUINZE DE NOVEMBRO;VILA (MOSQUEIRO);664;;BELÉM;PA;ISENTO;(0091) 3771-5993;(0091) 8733-2192;ADNA LEITAO;ADMO@CINBESA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=83.752.790/0001-99">gts</a><br>drh.admos@sinbesa.com.br; 
TSB 370 TOULON VEICULOS LTDA;TOULON VEICULOS - PEUGET;02621661000160;67110-000;RODOVIA BR-316;GUANABARA;S / N;KM 02;ANANINDEUA;PA;15.200.668-0;(0091) 4005-1416;(0091) 8876-3723;MARLENE E CONCEICAO;ROSA@TOULONVEICULOS.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=02.621.661/0001-60">gts</a><br>; 
TSB 371 GIARDINI INCORPORACAO E CONSTRUCAO DE IMOVEIS LTDA;GIARDINI INCORPORACAO;09317458000143;66.093-030;AV DUQUE DE CAXIAS, COMPLEXO HOTELEIRO HANGAR SALA 512 ANEXO TERR;MARCO;1538;;BELTERRA;PA;ISENTO;(91)3182-4155;;;COMPRASPORTO@MBCAPITAL.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=09.317.458/0001-43">gts</a><br>; 
TSB 372 OLIVEIRA E OLIVEIRA LTDA;OLIVEIRA E OLIVEIRA;04372975000100;68440-000;AV. DOM PEDRO II;AVIACAO;1387;;ABAETETUBA;PA;15.098.529-0;(0091) 3751-1516;;LURDES / RICARDO;RH@OLIVEIRAPARA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.372.975/0001-00">gts</a><br>; 
TSB 373 PLENA SERVICOS LTDA;PLENA SERVICOS;05868277000154;68447-000;ROD PA 481;ARIENGA;S/N;;BARCARENA;PA;15.246.521-9;(0091)3754-2152;(0091)3754-0945;SANDRA;SANDRA@PLENABR.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=05.868.277/0001-54">gts</a><br>financeiro contato natalia alvarenga telefone91-3754.2152 e-mail natalia.alvarenga@plenabr.com.br ------------------------------------------------------------; 
TSB 374 FRIGORIFICO SANTA CRUZ LTDA;FRIGORIFICO SANTA CRUZ;04422772000172;67125-250;EST DO GUAJARA PASSAGEM PASCOAL LOTES 03 05 06 07 E 08;ICUI-GUAJARA;S/N;;ANANINDEUA;PA;15.220.449-0;(91)3349-3090;(91)98802-3876;IVANEIDE/EVELYN;EVELYN.MARCAL@FSCRUZ.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.422.772/0001-72">gts</a><br>; 
TSB 375 ROSICLEIA NOGUEIRA DE SOUZA ME;SUPERMERCADO REAL;11041193000307;68447-000;AV CONEGO GERONIMO PIMENTEL A QD 290 CASA 510;VILA DOS CABANOS;22;;BARCARENA;PA;15.305.064-0;(0091) 3754-3925;(0091) 3754-2924;LUCIVALDO;SUPERMERCADOREAL2007@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=11.041.193/0003-07">gts</a><br>; 
TSB 376 PRE ESCOLAR CANGURUS S/CC LTDA;CANGURUS;83880443000141;66120-000;AVENIDA SENADOR LEMOS;TELEGRAFO;2194;;BELÉM;PA;ISENTO;(0091) 3233-3754;;JOSIANE;ESCOLACANGURUS@GMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=83.880.443/0001-41">gts</a><br>; 
TSB 377 HOSPITAL NOSSA SENHORA DE GUADALUPE;HOSPITAL GUADALUPE;04900985000162;66015-040;RUA ARCIPRESTES MANOEL TEODORO;BATISTA CAMPOS;734;;BELÉM;PA;ISENTO;(0091) 4005-9822;;EMANUEL / RUBIA;NTI@HOSPITALGUADALUPE.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=04.900.985/0001-62">gts</a><br>setor de compra  contato cristiane lima  fone 4005.9890; 
TSB 378 BSM ENGENHARIA S.A;BSM ENGENHARIA;34078154001009;27933-420;RUA LADY ESTEVES DA CONCEIÇÃO;NOVO CAVALEIRO;525;;MACAÉ;RJ;77110488;(0022) 2765-4777;(0091) 3258-5538;GERALDO;COMPRASMACAE@BSM.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=34.078.154/0010-09">gts</a><br>; 
TSB 379 INDUSTRIA E COMERCIO DE LATICINIOS FLORESTA LTDA;LATICINIOS FLORESTA;07763635000190;68508-970;VILA CAPISTRANO DE ABREU;ZONA RURAL;S/N;;MARABÁ;PA;152609717;(0094) 3433-1575;(0094) 3433-1089;AGUINALDO;;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=07.763.635/0001-90">gts</a><br>; 
TSB 380 CONQUISTA COMERCIO DE CALCADOS LTDA;DISTRIBUIDORA CONQUISTA;11650766000138;68508-050;QUADRA CINCO (FL.32);NOVA MARABÁ;S / N;LOTE 09;MARABÁ;PA;15.297.733-3;(0094) 2101-2700;(0094) 8121-1720;LUCIO SOARES;TI@BRAMAZONIA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=11.650.766/0001-38">gts</a><br>; 
TSB 381 CENTRO DE ENSINO SAO LUCAS LTDA;NUCLEO SAO LUCAS DE ANALISES CLINICAS;84596170000332;76804-368;RUA: JOAQUIM NABUCO;AREAL;1310;;PORTO VELHO;RO;ISENTO;(0069) 3211-8041;;CLÁUDIO BRUNO;CLAUDIO.BRUNO@SAOLUCAS.EDU.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=84.596.170/0003-32">gts</a><br>; 
TSB 382 PAULISTA COMERCIO DE ALIMENTOS LTDA;SUPERMERCADO PAULISTA - MOSQUEIRO;03668439000185;66913-670;RUA VARIANTE;CHAPEU VIRADO (MOSQUEIRO);140;;BELÉM;PA;15.211.589-7;(0091)3772-1625;(91)98179-5988;EDSON / FABRICIA;SUPERMERCADOPAULISTA@HOTMAIL.COM;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=03.668.439/0001-85">gts</a><br>; 
TSB 383 DELTA GRAFICA E EDITORA LTDA;DELTA GRAFICA E EDITORA;07960738000140;66087-490;TRAVESSA PIRAJÁ;MARCO;1193;;BELÉM;PA;15.253.761-9;(0091) 4006-9898;;CLAUDIA;FINANCEIRO@GRAFICADELTA.COM.BR;<a target="_blank" href="http://gts.totalseg//admin/pages/cliente/insere_altera.php?cpf_cnpj=07.960.738/0001-40">gts</a><br>; 
